RECN,NAME,YOB,LEGALID,ADDRESS
0,George Emily,1941,XW18695,"1258 Congress Av, Georgetown"
1,George Emily,1941,XW18695,"1258 Congress Av, Georgetown"
2,Darrin Bob,1980,ZS17506,"4602 Windermeer St, Amarillo"
3,Alice Alice,2007,XX19173,"4354 Spicewood Av, Hutto"
4,Natalie Mary,1942,KN19588,"4306 Yellow St, Paris"
5,Fran Rebeca,1984,AK10225,"8117 Fireoak Av, Georgetown"
6,Sean Natalie,1978,AD17030,"8482 Winter Fall St, Hutto"
7,John George,1971,ES16383,"5482 Big Sky Av, Dublin"
8,Alice Robert,1991,TK19428,"9015 Congress Av, Paris"
9,John Magda,1979,KL18860,"7065 Orange Maple St, Paris"
10,Magda Michael,1927,WA16794,"5250 Winter Fall St, Dublin"
11,David David,1975,XX16561,"2981 Oak View St, Paris"
12,Darrin Natalie,1979,SG16674,"9069 Main St, Dallas"
13,Alice Darrin,1948,LD15069,"4166 Fireoak Av, Hutto"
14,Michael Darrin,1974,TN18157,"5147 Orange Maple St, Dallas"
15,Rebeca Sean,1991,ZA15730,"5008 Yellow St, Hutto"
16,Darrin David,1919,KZ14216,"4656 Main St, Dublin"
17,Fran Sean,1962,SK19051,"147 Maple St, London"
18,Michael Smith,1911,WK14677,"1621 E 6th Street, Paris"
19,Smith David,1987,WA17990,"909 E 6th Street, London"
20,Darrin Robert,1960,ZX19696,"2280 Orange Maple St, London"
21,Bob Smith,1934,ZD15406,"6239 Windermeer St, Dublin"
22,Fran David,1985,ED19616,"6243 Orange Maple St, Austin"
23,Gustavo Smith,1919,KG15518,"5693 Fireoak Av, London"
24,David Gustavo,1925,GK13978,"5393 Shallow Lake St, Amarillo"
25,Mary Sean,1990,ZN16366,"1568 Orange Maple St, Paris"
26,Magda Alice,1936,WX10757,"866 Yellow St, Georgetown"
27,Bob Joe,1999,EX17505,"6407 Spicewood Av, London"
28,Darrin Fran,1972,SX15341,"341 Windermeer St, Georgetown"
29,Alice Mary,1927,SG19100,"7889 Orange Maple St, Austin"
30,Beth Rebeca,2000,GN18429,"1300 Winter Fall St, Dublin"
31,Sean Mary,1928,ZW11084,"351 Shallow Lake St, Austin"
32,John Joe,1963,LA14300,"3170 E 6th Street, Georgetown"
33,Emily Sean,1918,ZD10630,"6995 Winter Fall St, Georgetown"
34,Michael Rebeca,2009,WS18183,"3255 Spicewood Av, Georgetown"
35,David Sean,1912,KN13843,"7445 Congress Av, Del Valle"
36,Magda Smith,1921,TL18606,"8987 Yellow St, Georgetown"
37,Gustavo Rebeca,1936,NW19201,"5629 Main St, Austin"
38,Alice Sean,1981,XX12577,"7734 Yellow St, London"
39,Natalie David,2005,ZX10553,"2854 Spicewood Av, Georgetown"
40,Sean Sean,1993,AS10254,"8457 Winter Fall St, Dallas"
41,David Smith,1958,ES16330,"7290 Congress Av, Dallas"
42,Mary Robert,1994,LK10619,"7391 Winter Fall St, Hutto"
43,Fran George,1998,KZ12394,"1522 Yellow St, Hutto"
44,David Magda,1916,GL15045,"8423 Big Sky Av, Hutto"
45,Smith Natalie,2001,DN17094,"5599 Yellow St, Hutto"
46,Smith Alice,1919,AT18389,"723 Orange Maple St, Amarillo"
47,Gustavo Bob,1926,XT10838,"3855 Shallow Lake St, Paris"
48,Mary David,1967,WK11213,"2429 Big Sky Av, Hutto"
49,Smith Alice,1986,KG17417,"3182 Oak View St, Paris"
50,Gustavo Sean,1918,NZ14724,"101 Winter Fall St, Del Valle"
51,Fran Magda,2001,EG12071,"8477 Yellow St, Del Valle"
52,Rebeca Alice,1970,NG16473,"2195 E 6th Street, Dallas"
53,Alice Darrin,1992,XE12196,"7401 Spicewood Av, Georgetown"
54,Michael Fran,1963,SD15373,"2394 Yellow St, Hutto"
55,George Joe,1976,TG13604,"3577 Winter Fall St, London"
56,Michael Bob,1988,GK10093,"765 Maple St, Round Rock"
57,Robert Alice,1959,KE15706,"2443 Orange Maple St, Del Valle"
58,Robert Bob,2000,ZL10834,"6072 Spicewood Av, Austin"
59,Mary Emily,1941,TE10443,"5870 Maple St, Amarillo"
60,Joe Robert,1940,DK17382,"6416 Fireoak Av, London"
61,Michael Sean,1977,TX19232,"8994 Windermeer St, Georgetown"
62,John Darrin,1973,XS11846,"2850 Oak View St, London"
63,Beth Beth,1947,NE17902,"6908 Orange Maple St, Dublin"
64,Beth Sean,1964,XA15455,"1906 Windermeer St, London"
65,John Gustavo,1921,EA19834,"4104 Winter Fall St, Paris"
66,Joe George,1992,SN16018,"6779 Congress Av, Paris"
67,Joe Darrin,2000,EL19638,"3761 Winter Fall St, Paris"
