RECN,NAME,YOB,LEGALID,ADDRESS
1,George Emily,1941,XW18695,"1258 Congress Av, Georgetown"
2,Darrin Bob,1980,ZS17506,"4602 Windermeer St, Amarillo"
3,Alice Alice,2007,XX19173,"4354 Spicewood Av, Hutto"
4,Natalie Mary,1942,KN19588,"4306 Yellow St, Paris"
5,Fran Rebeca,1984,AK10225,"8117 Fireoak Av, Georgetown"
6,Sean Natalie,1978,AD17030,"8482 Winter Fall St, Hutto"
7,John George,1971,ES16383,"5482 Big Sky Av, Dublin"
8,Alice Robert,1991,TK19428,"9015 Congress Av, Paris"
9,John Magda,1979,KL18860,"7065 Orange Maple St, Paris"
10,Magda Michael,1927,WA16794,"5250 Winter Fall St, Dublin"
11,David David,1975,XX16561,"2981 Oak View St, Paris"
12,Darrin Natalie,1979,SG16674,"9069 Main St, Dallas"
13,Alice Darrin,1948,LD15069,"4166 Fireoak Av, Hutto"
14,Michael Darrin,1974,TN18157,"5147 Orange Maple St, Dallas"
15,Rebeca Sean,1991,ZA15730,"5008 Yellow St, Hutto"
16,Darrin David,1919,KZ14216,"4656 Main St, Dublin"
17,Fran Sean,1962,SK19051,"147 Maple St, London"
18,Michael Smith,1911,WK14677,"1621 E 6th Street, Paris"
19,Smith David,1987,WA17990,"909 E 6th Street, London"
20,Darrin Robert,1960,ZX19696,"2280 Orange Maple St, London"
21,Bob Smith,1934,ZD15406,"6239 Windermeer St, Dublin"
22,Fran David,1985,ED19616,"6243 Orange Maple St, Austin"
23,Gustavo Smith,1919,KG15518,"5693 Fireoak Av, London"
24,David Gustavo,1925,GK13978,"5393 Shallow Lake St, Amarillo"
25,Mary Sean,1990,ZN16366,"1568 Orange Maple St, Paris"
26,Magda Alice,1936,WX10757,"866 Yellow St, Georgetown"
27,Bob Joe,1999,EX17505,"6407 Spicewood Av, London"
28,Darrin Fran,1972,SX15341,"341 Windermeer St, Georgetown"
29,Alice Mary,1927,SG19100,"7889 Orange Maple St, Austin"
30,Beth Rebeca,2000,GN18429,"1300 Winter Fall St, Dublin"
31,Sean Mary,1928,ZW11084,"351 Shallow Lake St, Austin"
32,John Joe,1963,LA14300,"3170 E 6th Street, Georgetown"
33,Emily Sean,1918,ZD10630,"6995 Winter Fall St, Georgetown"
